Geo_Postal_Code,Geo_Lat,Geo_Lon,Geolocation_City,Geo_Country
AD-AD500,42.5078,1.5211,Andorra la Vella,Andorra 
AD-AD501,42.5078,1.5211,Andorra la Vella,Andorra 
AD-AD502,42.5078,1.5211,Andorra la Vella,Andorra 
AD-AD503,42.5078,1.5211,Andorra la Vella,Andorra 
AD-AD504,42.5078,1.5211,Andorra la Vella,Andorra 
AT-1010,48.2082,16.3738,Vienna,Austria
AT-1020,48.2082,16.3738,Vienna,Austria
AT-1030,48.2082,16.3738,Vienna,Austria
AT-1040,48.2082,16.3738,Vienna,Austria
AT-1050,48.2082,16.3738,Vienna,Austria
AT-2500,48.0075,16.2344,Baden bei Wien,Austria
AT-2501,48.0075,16.2344,Baden bei Wien,Austria
AT-2502,48.0075,16.2344,Baden bei Wien,Austria
AT-2503,48.0075,16.2344,Baden bei Wien,Austria
AT-2504,48.0075,16.2344,Baden bei Wien,Austria
AT-2700,47.8167,16.25,Wiener Neustadt,Austria
AT-2701,47.8167,16.25,Wiener Neustadt,Austria
AT-2702,47.8167,16.25,Wiener Neustadt,Austria
AT-2703,47.8167,16.25,Wiener Neustadt,Austria
AT-2704,47.8167,16.25,Wiener Neustadt,Austria
AT-3100,48.2,15.6167,Sankt Pölten,Austria
AT-3104,48.2,15.6167,Sankt Pölten,Austria
AT-3105,48.2,15.6167,Sankt Pölten,Austria
AT-3106,48.2,15.6167,Sankt Pölten,Austria
AT-3107,48.2,15.6167,Sankt Pölten,Austria
AT-3400,48.3042,16.3167,Klosterneuburg,Austria
AT-3401,48.3042,16.3167,Klosterneuburg,Austria
AT-3402,48.3042,16.3167,Klosterneuburg,Austria
AT-3403,48.3042,16.3167,Klosterneuburg,Austria
AT-3404,48.3042,16.3167,Klosterneuburg,Austria
AT-4020,48.3058,14.2864,Linz,Austria
AT-4030,48.3058,14.2864,Linz,Austria
AT-4040,48.3058,14.2864,Linz,Austria
AT-4050,48.3058,14.2864,Linz,Austria
AT-4050,48.2217,14.2397,Traun,Austria
AT-4051,48.2217,14.2397,Traun,Austria
AT-4052,48.2217,14.2397,Traun,Austria
AT-4053,48.2217,14.2397,Traun,Austria
AT-4054,48.2217,14.2397,Traun,Austria
AT-4060,48.2792,14.2528,Leonding,Austria
AT-4060,48.3058,14.2864,Linz,Austria
AT-4061,48.2792,14.2528,Leonding,Austria
AT-4062,48.2792,14.2528,Leonding,Austria
AT-4063,48.2792,14.2528,Leonding,Austria
AT-4064,48.2792,14.2528,Leonding,Austria
AT-4400,48.05,14.4167,Steyr,Austria
AT-4401,48.05,14.4167,Steyr,Austria
AT-4402,48.05,14.4167,Steyr,Austria
AT-4403,48.05,14.4167,Steyr,Austria
AT-4404,48.05,14.4167,Steyr,Austria
AT-4600,48.15,14.0167,Wels,Austria
AT-4610,48.15,14.0167,Wels,Austria
AT-4620,48.15,14.0167,Wels,Austria
AT-4630,48.15,14.0167,Wels,Austria
AT-4640,48.15,14.0167,Wels,Austria
AT-5020,47.8,13.045,Salzburg,Austria
AT-5030,47.8,13.045,Salzburg,Austria
AT-5040,47.8,13.045,Salzburg,Austria
AT-5050,47.8,13.045,Salzburg,Austria
AT-5060,47.8,13.045,Salzburg,Austria
AT-6010,47.2683,11.3933,Innsbruck,Austria
AT-6020,47.2683,11.3933,Innsbruck,Austria
AT-6030,47.2683,11.3933,Innsbruck,Austria
AT-6040,47.2683,11.3933,Innsbruck,Austria
AT-6050,47.2683,11.3933,Innsbruck,Austria
AT-6800,47.2381,9.5983,Feldkirch,Austria
AT-6801,47.2381,9.5983,Feldkirch,Austria
AT-6802,47.2381,9.5983,Feldkirch,Austria
AT-6803,47.2381,9.5983,Feldkirch,Austria
AT-6804,47.2381,9.5983,Feldkirch,Austria
AT-6850,47.4167,9.75,Dornbirn,Austria
AT-6851,47.4167,9.75,Dornbirn,Austria
AT-6852,47.4167,9.75,Dornbirn,Austria
AT-6853,47.4167,9.75,Dornbirn,Austria
AT-6854,47.4167,9.75,Dornbirn,Austria
AT-6900,47.505,9.7492,Bregenz,Austria
AT-6901,47.505,9.7492,Bregenz,Austria
AT-6902,47.505,9.7492,Bregenz,Austria
AT-6903,47.505,9.7492,Bregenz,Austria
AT-6904,47.505,9.7492,Bregenz,Austria
AT-8010,47.0708,15.4386,Graz,Austria
AT-8020,47.0708,15.4386,Graz,Austria
AT-8030,47.0708,15.4386,Graz,Austria
AT-8040,47.0708,15.4386,Graz,Austria
AT-8050,47.0708,15.4386,Graz,Austria
AT-8700,47.3817,15.0972,Leoben,Austria
AT-8701,47.3817,15.0972,Leoben,Austria
AT-8702,47.3817,15.0972,Leoben,Austria
AT-8703,47.3817,15.0972,Leoben,Austria
AT-8704,47.3817,15.0972,Leoben,Austria
AT-9020,46.6167,14.3,Klagenfurt am Wörthersee,Austria
AT-9030,46.6167,14.3,Klagenfurt am Wörthersee,Austria
AT-9040,46.6167,14.3,Klagenfurt am Wörthersee,Austria
AT-9050,46.6167,14.3,Klagenfurt am Wörthersee,Austria
AT-9060,46.6167,14.3,Klagenfurt am Wörthersee,Austria
